,1,2,3,4,5,6,7,Total
ACEH BARAT,0.922118,0.000000,0.000000,0.015576,0.003115,0.043614,0.015576,321
ACEH BARAT DAYA,0.883562,0.006849,0.000000,0.020548,0.000000,0.089041,0.000000,146
ACEH BESAR,0.980132,0.003311,0.001656,0.011589,0.001656,0.001656,0.000000,604
ACEH JAYA,0.953216,0.000000,0.000000,0.035088,0.005848,0.005848,0.000000,171
ACEH SELATAN,0.963710,0.000000,0.000000,0.020161,0.000000,0.000000,0.016129,248
ACEH SINGKIL,0.875000,0.016667,0.000000,0.016667,0.000000,0.091667,0.000000,120
ACEH TAMIANG,0.943662,0.000000,0.000000,0.018779,0.000000,0.032864,0.004695,213
ACEH TENGAH,0.983051,0.003390,0.003390,0.006780,0.000000,0.000000,0.003390,295
ACEH TENGGARA,0.945313,0.002604,0.002604,0.007813,0.002604,0.033854,0.005208,384
ACEH TIMUR,0.947266,0.000000,0.001953,0.009766,0.000000,0.027344,0.013672,512
ACEH UTARA,0.948417,0.007034,0.004689,0.017585,0.001172,0.011723,0.009379,853
ALOR,0.994286,0.000000,0.000000,0.000000,0.000000,0.000000,0.005714,175
AMBON,0.980000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,50
ASAHAN,0.970588,0.000000,0.000000,0.024510,0.000000,0.004902,0.000000,204
ASMAT,0.985612,0.000000,0.000000,0.014388,0.000000,0.000000,0.000000,139
B A T A M,0.953125,0.000000,0.000000,0.031250,0.000000,0.015625,0.000000,64
BADUNG,0.919355,0.016129,0.000000,0.048387,0.000000,0.016129,0.000000,62
BALANGAN,0.967105,0.000000,0.000000,0.013158,0.000000,0.013158,0.006579,152
BALIKPAPAN,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27
BANDA ACEH,0.888889,0.000000,0.000000,0.066667,0.000000,0.033333,0.011111,90
BANDAR LAMPUNG,0.908163,0.000000,0.000000,0.051020,0.000000,0.010204,0.030612,98
