District,School Scoring,,
ACEH BARAT,844.000000,5.000000,
ACEH BARAT DAYA,489.000000,3.000000,
ACEH BESAR,1144.000000,6.000000,
ACEH JAYA,500.000000,3.000000,
ACEH SELATAN,965.000000,5.000000,
ACEH SINGKIL,485.000000,3.000000,
ACEH TAMIANG,897.000000,5.000000,
ACEH TENGAH,884.000000,5.000000,
ACEH TENGGARA,814.000000,4.000000,
ACEH TIMUR,1155.000000,6.000000,
ACEH UTARA,1782.000000,8.000000,
ALOR,837.000000,5.000000,
AMBON,890.000000,5.000000,
ASAHAN,2159.000000,8.000000,
ASMAT,219.000000,1.000000,
B A T A M,1637.000000,8.000000,
BADUNG,1101.000000,6.000000,
BALANGAN,686.000000,4.000000,
BALIKPAPAN,938.000000,5.000000,
BANDA ACEH,787.000000,4.000000,
BANDAR LAMPUNG,1829.000000,8.000000,
BANDUNG,11251.000000,10.000000,
BANDUNG BARAT,3520.000000,9.000000,
BANGGAI,1562.000000,7.000000,
BANGGAI KEPULAUAN,1081.000000,6.000000,
BANGKA,744.000000,4.000000,
BANGKA BARAT,499.000000,3.000000,
BANGKA SELATAN,374.000000,2.000000,
BANGKA TENGAH,373.000000,2.000000,
BANGKALAN,3168.000000,9.000000,
BANGLI,557.000000,3.000000,
BANJAR,2257.000000,8.000000,
BANJAR BARU,537.000000,3.000000,
BANJARMASIN,1522.000000,7.000000,
BANJARNEGARA,2869.000000,9.000000,
BANTAENG,645.000000,4.000000,
BANTUL,2092.000000,8.000000,
BANYU ASIN,2003.000000,8.000000,
BANYUMAS,3956.000000,10.000000,
BANYUWANGI,4139.000000,10.000000,
BARITO KUALA,1272.000000,7.000000,
BARITO SELATAN,830.000000,5.000000,
BARITO TIMUR,542.000000,3.000000,
BARITO UTARA,658.000000,4.000000,
BARRU,814.000000,4.000000,
BATANG,2004.000000,8.000000,
BATANG HARI,886.000000,5.000000,
BATU,458.000000,2.000000,
BATU BARA,1089.000000,6.000000,
BAU-BAU,430.000000,2.000000,
BEKASI,9093.000000,10.000000,
BELITUNG,484.000000,3.000000,
BELITUNG TIMUR,351.000000,2.000000,
BELU,1124.000000,6.000000,
BENER MERIAH,645.000000,4.000000,
BENGKALIS,1570.000000,7.000000,
BENGKAYANG,855.000000,5.000000,
BENGKULU,699.000000,4.000000,
BENGKULU SELATAN,575.000000,3.000000,
BENGKULU TENGAH,361.000000,2.000000,
BENGKULU UTARA,963.000000,5.000000,
BERAU,705.000000,4.000000,
BIAK NUMFOR,582.000000,3.000000,
BIMA,2400.000000,9.000000,
BINJAI,801.000000,4.000000,
BINTAN,402.000000,2.000000,
BIREUEN,1186.000000,6.000000,
BITUNG,552.000000,3.000000,
BLITAR,3916.000000,10.000000,
BLORA,2617.000000,9.000000,
BOALEMO,635.000000,4.000000,
BOGOR,11953.000000,10.000000,
BOJONEGORO,4073.000000,10.000000,
BOLAANG MONGONDOW,885.000000,5.000000,
BOLAANG MONGONDOW SELATAN,280.000000,1.000000,
BOLAANG MONGONDOW TIMUR,241.000000,1.000000,
BOLAANG MONGONDOW UTARA,358.000000,2.000000,
BOMBANA,722.000000,4.000000,
BONDOWOSO,2645.000000,9.000000,
BONE,2965.000000,9.000000,
BONE BOLANGO,610.000000,3.000000,
BONTANG,394.000000,2.000000,
BOVEN DIGOEL,253.000000,1.000000,
BOYOLALI,3075.000000,9.000000,
BREBES,3845.000000,10.000000,
BUKITTINGGI,444.000000,2.000000,
BULELENG,1768.000000,8.000000,
BULUKUMBA,1625.000000,8.000000,
BULUNGAN,533.000000,3.000000,
BUNGO,1090.000000,6.000000,
BUOL,728.000000,4.000000,
BURU,527.000000,3.000000,
BURU SELATAN,326.000000,1.000000,
BUTON,1317.000000,7.000000,
BUTON UTARA,371.000000,2.000000,
CIAMIS,4754.000000,10.000000,
CIANJUR,4953.000000,10.000000,
CILACAP,4205.000000,10.000000,
CILEGON,1061.000000,6.000000,
CIMAHI,822.000000,5.000000,
CIREBON,5123.000000,10.000000,
D U M A I,576.000000,3.000000,
DAIRI,963.000000,5.000000,
DEIYAI,95.000000,1.000000,
DELI SERDANG,4449.000000,10.000000,
DEMAK,3025.000000,9.000000,
DENPASAR,1298.000000,7.000000,
DEPOK,3014.000000,9.000000,
DOGIYAI,164.000000,1.000000,
DOMPU,1055.000000,6.000000,
DONGGALA,1265.000000,7.000000,
EMPAT LAWANG,574.000000,3.000000,
ENDE,1226.000000,7.000000,
ENREKANG,971.000000,5.000000,
FAKFAK,397.000000,2.000000,
FLORES TIMUR,1190.000000,7.000000,
GARUT,7010.000000,10.000000,
GAYO LUES,359.000000,2.000000,
GIANYAR,1030.000000,6.000000,
GORONTALO,1959.000000,8.000000,
GORONTALO UTARA,515.000000,3.000000,
GOWA,2027.000000,8.000000,
GRESIK,3709.000000,10.000000,
GROBOGAN,3711.000000,10.000000,
GUNUNG KIDUL,2455.000000,9.000000,
GUNUNG MAS,595.000000,3.000000,
GUNUNGSITOLI,560.000000,3.000000,
HALMAHERA BARAT,778.000000,4.000000,
HALMAHERA SELATAN,1241.000000,7.000000,
HALMAHERA TENGAH,353.000000,2.000000,
HALMAHERA TIMUR,426.000000,2.000000,
HALMAHERA UTARA,755.000000,4.000000,
HULU SUNGAI SELATAN,1001.000000,6.000000,
HULU SUNGAI TENGAH,1102.000000,6.000000,
HULU SUNGAI UTARA,1005.000000,6.000000,
HUMBANG HASUNDUTAN,709.000000,4.000000,
INDRAGIRI HILIR,2715.000000,9.000000,
INDRAGIRI HULU,1163.000000,6.000000,
