,Community,,Social,,Professional,,Recreational,,Government,,
ACEH BARAT,35.000000,6.000000,10.000000,6.000000,13.000000,8.000000,107.000000,7.000000,36.000000,9.000000,
ACEH BARAT DAYA,29.000000,5.000000,3.000000,3.000000,0.000000,1.000000,123.000000,7.000000,9.000000,4.000000,
ACEH BESAR,30.000000,6.000000,8.000000,6.000000,1.000000,3.000000,94.000000,6.000000,5.000000,2.000000,
ACEH JAYA,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,100.000000,6.000000,8.000000,3.000000,
ACEH SELATAN,35.000000,6.000000,5.000000,4.000000,1.000000,3.000000,70.000000,5.000000,2.000000,1.000000,
ACEH SINGKIL,31.000000,6.000000,2.000000,2.000000,1.000000,3.000000,64.000000,5.000000,2.000000,1.000000,
ACEH TAMIANG,21.000000,5.000000,4.000000,4.000000,1.000000,3.000000,32.000000,4.000000,9.000000,4.000000,
ACEH TENGAH,12.000000,4.000000,5.000000,4.000000,7.000000,7.000000,83.000000,6.000000,12.000000,5.000000,
ACEH TENGGARA,11.000000,3.000000,4.000000,4.000000,1.000000,3.000000,11.000000,2.000000,8.000000,3.000000,
ACEH TIMUR,11.000000,3.000000,28.000000,9.000000,0.000000,1.000000,84.000000,6.000000,6.000000,3.000000,
ACEH UTARA,49.000000,7.000000,21.000000,8.000000,14.000000,9.000000,210.000000,9.000000,15.000000,5.000000,
ALOR,17.000000,4.000000,12.000000,7.000000,25.000000,9.000000,27.000000,3.000000,23.000000,7.000000,
AMBON,41.000000,6.000000,77.000000,10.000000,92.000000,10.000000,260.000000,9.000000,41.000000,9.000000,
ASAHAN,116.000000,9.000000,8.000000,6.000000,17.000000,9.000000,275.000000,9.000000,63.000000,10.000000,
ASMAT,2.000000,1.000000,2.000000,2.000000,2.000000,4.000000,2.000000,1.000000,2.000000,1.000000,
B A T A M,44.000000,7.000000,37.000000,9.000000,12.000000,8.000000,102.000000,7.000000,55.000000,10.000000,
BADUNG,638.000000,10.000000,8.000000,6.000000,110.000000,10.000000,1312.000000,10.000000,14.000000,5.000000,
BALANGAN,9.000000,3.000000,5.000000,4.000000,2.000000,4.000000,37.000000,4.000000,2.000000,1.000000,
BALIKPAPAN,56.000000,7.000000,25.000000,9.000000,1.000000,3.000000,11.000000,2.000000,25.000000,8.000000,
BANDA ACEH,9.000000,3.000000,15.000000,7.000000,2.000000,4.000000,46.000000,4.000000,36.000000,9.000000,
BANDAR LAMPUNG,81.000000,8.000000,27.000000,9.000000,13.000000,8.000000,73.000000,6.000000,61.000000,10.000000,
BANDUNG,322.000000,10.000000,115.000000,10.000000,24.000000,9.000000,799.000000,10.000000,178.000000,10.000000,
BANDUNG BARAT,62.000000,7.000000,24.000000,9.000000,8.000000,7.000000,236.000000,9.000000,31.000000,8.000000,
BANGGAI,152.000000,9.000000,16.000000,8.000000,14.000000,9.000000,157.000000,8.000000,20.000000,7.000000,
BANGGAI KEPULAUAN,220.000000,9.000000,8.000000,6.000000,13.000000,8.000000,152.000000,8.000000,27.000000,8.000000,
BANGKA,18.000000,5.000000,7.000000,5.000000,4.000000,5.000000,63.000000,5.000000,18.000000,6.000000,
BANGKA BARAT,44.000000,7.000000,2.000000,2.000000,3.000000,5.000000,57.000000,5.000000,12.000000,5.000000,
BANGKA SELATAN,2.000000,1.000000,0.000000,1.000000,0.000000,1.000000,98.000000,6.000000,7.000000,3.000000,
BANGKA TENGAH,8.000000,3.000000,2.000000,2.000000,0.000000,1.000000,41.000000,4.000000,7.000000,3.000000,
BANGKALAN,47.000000,7.000000,11.000000,7.000000,2.000000,4.000000,71.000000,6.000000,21.000000,7.000000,
BANGLI,1.000000,1.000000,5.000000,4.000000,16.000000,9.000000,181.000000,8.000000,29.000000,8.000000,
BANJAR,87.000000,8.000000,13.000000,7.000000,5.000000,6.000000,133.000000,7.000000,41.000000,9.000000,
BANJAR BARU,11.000000,3.000000,8.000000,6.000000,1.000000,3.000000,19.000000,3.000000,5.000000,2.000000,
BANJARMASIN,12.000000,4.000000,13.000000,7.000000,1.000000,3.000000,25.000000,3.000000,42.000000,9.000000,
BANJARNEGARA,422.000000,10.000000,23.000000,9.000000,33.000000,10.000000,476.000000,10.000000,22.000000,7.000000,
BANTAENG,17.000000,4.000000,4.000000,4.000000,2.000000,4.000000,19.000000,3.000000,27.000000,8.000000,
BANTUL,887.000000,10.000000,70.000000,10.000000,34.000000,10.000000,608.000000,10.000000,36.000000,9.000000,
BANYU ASIN,42.000000,6.000000,7.000000,5.000000,5.000000,6.000000,98.000000,6.000000,35.000000,9.000000,
BANYUMAS,736.000000,10.000000,23.000000,9.000000,143.000000,10.000000,766.000000,10.000000,47.000000,9.000000,
BANYUWANGI,268.000000,9.000000,50.000000,10.000000,8.000000,7.000000,747.000000,10.000000,56.000000,10.000000,
BARITO KUALA,10.000000,3.000000,10.000000,6.000000,5.000000,6.000000,37.000000,4.000000,9.000000,4.000000,
BARITO SELATAN,8.000000,3.000000,2.000000,2.000000,2.000000,4.000000,18.000000,3.000000,5.000000,2.000000,
BARITO TIMUR,22.000000,5.000000,2.000000,2.000000,4.000000,5.000000,56.000000,5.000000,14.000000,5.000000,
BARITO UTARA,6.000000,2.000000,19.000000,8.000000,1.000000,3.000000,99.000000,6.000000,16.000000,6.000000,
BARRU,6.000000,2.000000,2.000000,2.000000,1.000000,3.000000,9.000000,2.000000,8.000000,3.000000,
BATANG,310.000000,10.000000,8.000000,6.000000,26.000000,9.000000,426.000000,10.000000,16.000000,6.000000,
BATANG HARI,6.000000,2.000000,4.000000,4.000000,4.000000,5.000000,15.000000,2.000000,3.000000,2.000000,
BATU,45.000000,7.000000,15.000000,7.000000,0.000000,1.000000,164.000000,8.000000,5.000000,2.000000,
BATU BARA,59.000000,7.000000,2.000000,2.000000,2.000000,4.000000,40.000000,4.000000,66.000000,10.000000,
BAU-BAU,4.000000,2.000000,2.000000,2.000000,1.000000,3.000000,4.000000,1.000000,11.000000,4.000000,
BEKASI,100.000000,8.000000,70.000000,10.000000,7.000000,7.000000,213.000000,9.000000,65.000000,10.000000,
BELITUNG,7.000000,2.000000,4.000000,4.000000,6.000000,6.000000,162.000000,8.000000,5.000000,2.000000,
BELITUNG TIMUR,3.000000,1.000000,2.000000,2.000000,5.000000,6.000000,131.000000,7.000000,7.000000,3.000000,
BELU,7.000000,2.000000,8.000000,6.000000,2.000000,4.000000,17.000000,3.000000,9.000000,4.000000,
BENER MERIAH,10.000000,3.000000,3.000000,3.000000,0.000000,1.000000,107.000000,7.000000,8.000000,3.000000,
BENGKALIS,22.000000,5.000000,9.000000,6.000000,6.000000,6.000000,412.000000,10.000000,162.000000,10.000000,
BENGKAYANG,15.000000,4.000000,3.000000,3.000000,5.000000,6.000000,20.000000,3.000000,21.000000,7.000000,
BENGKULU,20.000000,5.000000,9.000000,6.000000,5.000000,6.000000,12.000000,2.000000,34.000000,8.000000,
BENGKULU SELATAN,26.000000,5.000000,32.000000,9.000000,0.000000,1.000000,134.000000,7.000000,5.000000,2.000000,
BENGKULU TENGAH,19.000000,5.000000,19.000000,8.000000,42.000000,10.000000,132.000000,7.000000,11.000000,4.000000,
BENGKULU UTARA,57.000000,7.000000,88.000000,10.000000,3.000000,5.000000,180.000000,8.000000,43.000000,9.000000,
BERAU,10.000000,3.000000,2.000000,2.000000,5.000000,6.000000,90.000000,6.000000,14.000000,5.000000,
BIAK NUMFOR,1.000000,1.000000,2.000000,2.000000,0.000000,1.000000,6.000000,1.000000,4.000000,2.000000,
BIMA,56.000000,7.000000,26.000000,9.000000,23.000000,9.000000,142.000000,8.000000,29.000000,8.000000,
BINJAI,14.000000,4.000000,5.000000,4.000000,0.000000,1.000000,10.000000,2.000000,11.000000,4.000000,
BINTAN,40.000000,6.000000,9.000000,6.000000,0.000000,1.000000,201.000000,8.000000,11.000000,4.000000,
BIREUEN,17.000000,4.000000,11.000000,7.000000,6.000000,6.000000,35.000000,4.000000,8.000000,3.000000,
BITUNG,4.000000,2.000000,7.000000,5.000000,0.000000,1.000000,8.000000,2.000000,8.000000,3.000000,
BLITAR,287.000000,10.000000,29.000000,9.000000,12.000000,8.000000,411.000000,10.000000,39.000000,9.000000,
BLORA,468.000000,10.000000,27.000000,9.000000,1281.000000,10.000000,359.000000,10.000000,49.000000,9.000000,
BOALEMO,38.000000,6.000000,3.000000,3.000000,3.000000,5.000000,78.000000,6.000000,20.000000,7.000000,
BOGOR,130.000000,9.000000,85.000000,10.000000,15.000000,9.000000,330.000000,9.000000,72.000000,10.000000,
BOJONEGORO,288.000000,10.000000,19.000000,8.000000,6.000000,6.000000,169.000000,8.000000,59.000000,10.000000,
BOLAANG MONGONDOW,13.000000,4.000000,2.000000,2.000000,2.000000,4.000000,4.000000,1.000000,7.000000,3.000000,
BOLAANG MONGONDOW SELATAN,6.000000,2.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,0.000000,1.000000,
BOLAANG MONGONDOW TIMUR,5.000000,2.000000,0.000000,1.000000,0.000000,1.000000,5.000000,1.000000,5.000000,2.000000,
BOLAANG MONGONDOW UTARA,16.000000,4.000000,0.000000,1.000000,0.000000,1.000000,14.000000,2.000000,8.000000,3.000000,
BOMBANA,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,3.000000,1.000000,3.000000,2.000000,
BONDOWOSO,90.000000,8.000000,10.000000,6.000000,4.000000,5.000000,171.000000,8.000000,31.000000,8.000000,
BONE,428.000000,10.000000,14.000000,7.000000,179.000000,10.000000,131.000000,7.000000,57.000000,10.000000,
BONE BOLANGO,3.000000,1.000000,15.000000,7.000000,0.000000,1.000000,100.000000,6.000000,6.000000,3.000000,
BONTANG,56.000000,7.000000,23.000000,9.000000,6.000000,6.000000,33.000000,4.000000,2.000000,1.000000,
