,1,2,3,4,5,6,7,Total
ACEH BARAT,0.953271,0.000000,0.003115,0.015576,0.000000,0.021807,0.006231,321
ACEH BARAT DAYA,0.924658,0.000000,0.000000,0.047945,0.000000,0.006849,0.020548,146
ACEH BESAR,0.930464,0.003311,0.001656,0.006623,0.001656,0.041391,0.014901,604
ACEH JAYA,0.970760,0.000000,0.000000,0.005848,0.000000,0.023392,0.000000,171
ACEH SELATAN,0.931452,0.004032,0.000000,0.012097,0.000000,0.052419,0.000000,248
ACEH SINGKIL,0.858333,0.000000,0.000000,0.033333,0.000000,0.075000,0.033333,120
ACEH TAMIANG,0.826291,0.009390,0.000000,0.046948,0.000000,0.112676,0.004695,213
ACEH TENGAH,0.928814,0.006780,0.000000,0.013559,0.000000,0.037288,0.013559,295
ACEH TENGGARA,0.979167,0.005208,0.000000,0.013021,0.002604,0.000000,0.000000,384
ACEH TIMUR,0.970703,0.000000,0.001953,0.021484,0.001953,0.003906,0.000000,512
ACEH UTARA,0.964830,0.001172,0.000000,0.022274,0.000000,0.009379,0.002345,853
ALOR,0.948571,0.005714,0.000000,0.011429,0.000000,0.034286,0.000000,175
AMBON,0.380000,0.000000,0.000000,0.120000,0.020000,0.480000,0.000000,50
ASAHAN,0.803922,0.000000,0.024510,0.063725,0.000000,0.078431,0.029412,204
ASMAT,0.985612,0.007194,0.000000,0.000000,0.000000,0.000000,0.007194,139
B A T A M,0.312500,0.031250,0.453125,0.062500,0.000000,0.125000,0.015625,64
BADUNG,0.564516,0.000000,0.032258,0.129032,0.000000,0.193548,0.080645,62
BALANGAN,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152
BALIKPAPAN,0.111111,0.000000,0.074074,0.148148,0.000000,0.296296,0.370370,27
BANDA ACEH,0.077778,0.000000,0.000000,0.144444,0.000000,0.677778,0.100000,90
BANDAR LAMPUNG,0.102041,0.000000,0.122449,0.244898,0.000000,0.489796,0.040816,98
BANDUNG,0.398126,0.007026,0.196721,0.126464,0.004684,0.217799,0.049180,427
BANDUNG BARAT,0.830303,0.012121,0.042424,0.012121,0.000000,0.084848,0.018182,165
BANGGAI,0.932153,0.005900,0.002950,0.035398,0.000000,0.020649,0.002950,339
BANGGAI KEPULAUAN,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,210
BANGKA,0.614286,0.300000,0.000000,0.071429,0.000000,0.014286,0.000000,70
BANGKA BARAT,0.687500,0.281250,0.000000,0.031250,0.000000,0.000000,0.000000,64
BANGKA SELATAN,0.905660,0.094340,0.000000,0.000000,0.000000,0.000000,0.000000,53
BANGKA TENGAH,0.684211,0.175439,0.000000,0.017544,0.000000,0.087719,0.035088,57
BANGKALAN,0.935943,0.000000,0.010676,0.021352,0.000000,0.028470,0.003559,281
BANGLI,0.944444,0.000000,0.013889,0.027778,0.000000,0.000000,0.013889,72
BANJAR,0.869841,0.000000,0.012698,0.057143,0.000000,0.044444,0.015873,315
BANJAR BARU,0.250000,0.100000,0.100000,0.000000,0.050000,0.500000,0.000000,20
BANJARMASIN,0.000000,0.019231,0.057692,0.230769,0.000000,0.634615,0.057692,52
BANJARNEGARA,0.953237,0.000000,0.000000,0.043165,0.000000,0.003597,0.000000,278
BANTAENG,0.955224,0.000000,0.000000,0.029851,0.000000,0.014925,0.000000,67
BANTUL,0.773333,0.000000,0.066667,0.026667,0.000000,0.133333,0.000000,75
BANYU ASIN,0.980263,0.000000,0.006579,0.006579,0.000000,0.000000,0.006579,304
BANYUMAS,0.830816,0.000000,0.045317,0.045317,0.000000,0.078550,0.000000,331
BANYUWANGI,0.884793,0.000000,0.004608,0.046083,0.000000,0.059908,0.004608,217
BARITO KUALA,0.960000,0.000000,0.005000,0.000000,0.000000,0.035000,0.000000,200
BARITO SELATAN,0.947368,0.010526,0.000000,0.021053,0.000000,0.021053,0.000000,95
BARITO TIMUR,0.980583,0.009709,0.000000,0.000000,0.000000,0.009709,0.000000,103
BARITO UTARA,0.990291,0.000000,0.000000,0.009709,0.000000,0.000000,0.000000,103
BARRU,0.962963,0.018519,0.000000,0.018519,0.000000,0.000000,0.000000,54
BATANG,0.891129,0.000000,0.040323,0.024194,0.004032,0.024194,0.016129,248
